summary_type,regime,feature_mode,register_type,output_mode,count,test_string_accuracy_mean,test_string_accuracy_std,test_string_accuracy_sem,test_string_accuracy_min,test_string_accuracy_median,test_string_accuracy_max,hidden_dim,write_fraction,unwritten_mode,test_string_accuracy,length_generalization_accuracy_mean,length_generalization_accuracy_std,length_generalization_accuracy_sem,length_generalization_accuracy_min,length_generalization_accuracy_median,length_generalization_accuracy_max,length_generalization_accuracy,transition_accuracy_autonomous_mean,transition_accuracy_autonomous_std,transition_accuracy_autonomous_sem,transition_accuracy_autonomous_min,transition_accuracy_autonomous_median,transition_accuracy_autonomous_max,transition_accuracy_autonomous,grammar_name,length,transition_coverage_train,topk_k,masked_topk_accuracy_mean,masked_topk_accuracy_std,masked_topk_accuracy_sem,masked_topk_accuracy_min,masked_topk_accuracy_median,masked_topk_accuracy_max,masked_topk_accuracy,seen_transition_accuracy_mean,seen_transition_accuracy_std,seen_transition_accuracy_sem,seen_transition_accuracy_min,seen_transition_accuracy_median,seen_transition_accuracy_max,seen_transition_accuracy,unseen_transition_accuracy_mean,unseen_transition_accuracy_std,unseen_transition_accuracy_sem,unseen_transition_accuracy_min,unseen_transition_accuracy_median,unseen_transition_accuracy_max,unseen_transition_accuracy
overall_by_model,full_transition_exposure,exact_pair,hopfield,dense,280,0.9694547619047618,0.1195736133163839,0.007145890177861503,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_by_model,full_transition_exposure,exact_pair,hopfield,sparse_topk,840,0.8297380952380953,0.23014399327059168,0.007940722172277693,0.4846666666666667,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_by_model,full_transition_exposure,exact_pair,nearest,dense,280,0.9675273809523812,0.1228079936719224,0.007339181374581941,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_by_model,full_transition_exposure,exact_pair,nearest,sparse_topk,840,0.8324690476190476,0.2305849421404917,0.00795593635370514,0.4943333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_by_model,full_transition_exposure,hashed_pair,hopfield,dense,1120,0.885776488095238,0.19307471517195837,0.005769210582815349,0.4346666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_by_model,full_transition_exposure,hashed_pair,nearest,dense,1120,0.8845175595238095,0.19384991868269147,0.005792374218167465,0.4346666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,dense,40,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,40,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.3,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,40,0.6876,0.24506688661950826,0.0387484770401944,0.5,0.5001666666666666,1.0,4.0,0.5,keep_current,0.6876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,40,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.5,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,dense,40,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,40,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.3,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,40,0.6625916666666667,0.23710654303348053,0.03748983620572639,0.5,0.5,1.0,4.0,0.5,keep_current,0.6625916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,40,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.5,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,dense,100,1.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,100,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.3,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,100,0.5505533333333333,0.13589887984943885,0.013589887984943885,0.4846666666666667,0.5,1.0,6.0,0.5,keep_current,0.5505533333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,100,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.5,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,dense,100,1.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,100,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.3,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,100,0.5808033333333333,0.17427257888389025,0.017427257888389024,0.4943333333333333,0.5,1.0,6.0,0.5,keep_current,0.5808033333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,100,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.5,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,dense,60,1.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,60,1.0,0.0,0.0,1.0,1.0,1.0,8.0,0.3,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,60,0.5394722222222222,0.11974900448051363,0.015459530002598221,0.4996666666666666,0.5,1.0,8.0,0.5,keep_current,0.5394722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,60,1.0,0.0,0.0,1.0,1.0,1.0,8.0,0.5,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,dense,60,1.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,60,1.0,0.0,0.0,1.0,1.0,1.0,8.0,0.3,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,60,0.5455111111111111,0.13931484843007508,0.01798546959496971,0.5,0.5,1.0,8.0,0.5,keep_current,0.5455111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,60,1.0,0.0,0.0,1.0,1.0,1.0,8.0,0.5,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,dense,20,1.0,0.0,0.0,1.0,1.0,1.0,10.0,1.0,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,20,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.3,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,20,0.5275000000000001,0.1115522849640551,0.024943849222505487,0.5,0.5,1.0,10.0,0.5,keep_current,0.5275000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,20,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.5,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,dense,20,1.0,0.0,0.0,1.0,1.0,1.0,10.0,1.0,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,20,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.3,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,20,0.525,0.11180339887498951,0.025000000000000005,0.5,0.5,1.0,10.0,0.5,keep_current,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,20,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.5,random_noise,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,dense,40,0.7875,0.25032030762656154,0.039579115834697594,0.5,1.0,1.0,12.0,1.0,random_noise,0.7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,40,0.7788999999999999,0.227365002681689,0.03594956343422143,0.5,0.8331666666666666,1.0,12.0,0.3,random_noise,0.7788999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,40,0.5214166666666668,0.0630493746735338,0.009968981450885097,0.5,0.5,0.7306666666666667,12.0,0.5,keep_current,0.5214166666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,40,0.7850250000000001,0.22852221132392375,0.03613253418609608,0.5,0.9148333333333334,1.0,12.0,0.5,random_noise,0.7850250000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,dense,40,0.775,0.2519157368278894,0.03983137534078457,0.5,1.0,1.0,12.0,1.0,random_noise,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,40,0.7722666666666667,0.23552665360507405,0.03724003375347709,0.5,0.8471666666666666,1.0,12.0,0.3,random_noise,0.7722666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,40,0.531775,0.09634051632345596,0.015232773126937592,0.5,0.5,1.0,12.0,0.5,keep_current,0.531775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,sparse_topk,40,0.7809333333333333,0.23087458146074105,0.0365044765627013,0.5,0.8925000000000001,1.0,12.0,0.5,random_noise,0.7809333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,dense,20,0.9973666666666666,0.0032801012678704915,0.0007334529408041666,0.9916666666666668,0.9993333333333332,1.0,63.0,1.0,random_noise,0.9973666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,20,0.9304833333333333,0.07492666785301182,0.016754112264688262,0.7143333333333334,0.9506666666666668,0.9933333333333332,63.0,0.3,random_noise,0.9304833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,20,0.51685,0.05426095437412285,0.012133118250455325,0.5,0.5,0.7176666666666667,63.0,0.5,keep_current,0.51685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,hopfield,sparse_topk,20,0.9571,0.07397099953312664,0.016540418331967635,0.6933333333333334,0.9846666666666666,0.9993333333333332,63.0,0.5,random_noise,0.9571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant_test_accuracy,full_transition_exposure,exact_pair,nearest,dense,20,0.9953833333333334,0.011807062511319183,0.0026401394389899075,0.9463333333333334,0.9993333333333332,1.0,63.0,1.0,random_noise,0.9953833333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
