experiment,seed,case_name,sequence,final_state,expected_state,success,payload_id,descriptor,corruption_rate,num_trials,operation_success_rate,content_success_rate
exp05_descriptor_payload,8,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
exp05_descriptor_payload,9,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,9,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,9,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,9,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,9,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,9,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,9,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,9,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.938,0.938
exp05_descriptor_payload,9,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.884,0.884
exp05_descriptor_payload,9,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.79,0.79
exp05_descriptor_payload,9,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.704,0.704
exp05_descriptor_payload,9,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.47,0.47
exp05_descriptor_payload,9,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.246,0.246
exp05_descriptor_payload,9,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
